,日期Date,指数代码Index Code,指数名称Index Name,指数英文名称Index Name(Eng.),成分券代码Constituent Code,成分券名称Constituent Name,成分券英文名称Constituent Name(Eng.),交易所Exchange
162,2021-01-26,500,内地企业,Mainland Enterprises,600029,南方航空,China Southern Airlines Co Ltd,SHH
163,2021-01-26,500,内地企业,Mainland Enterprises,600030,中信证券,CITIC Securities Co Ltd,SHH
164,2021-01-26,500,内地企业,Mainland Enterprises,600031,三一重工,Sany Heavy Industry Co Ltd,SHH
165,2021-01-26,500,内地企业,Mainland Enterprises,600036,招商银行,China Merchants Bank Co Ltd,SHH
166,2021-01-26,500,内地企业,Mainland Enterprises,600038,中直股份,"AVIC Helicopter Co.,Ltd.",SHH
167,2021-01-26,500,内地企业,Mainland Enterprises,600048,保利地产,"Poly Developments and Holdings Group Co., Ltd.",SHH
168,2021-01-26,500,内地企业,Mainland Enterprises,600066,宇通客车,Zhengzhou Yutong Bus Co Ltd,SHH
169,2021-01-26,500,内地企业,Mainland Enterprises,600068,葛洲坝,China Gezhouba Group Co Ltd,SHH
170,2021-01-26,500,内地企业,Mainland Enterprises,600085,同仁堂,Beijing Tongrentang Co Ltd,SHH
171,2021-01-26,500,内地企业,Mainland Enterprises,600089,特变电工,TBEA Co Ltd,SHH
172,2021-01-26,500,内地企业,Mainland Enterprises,600100,同方股份,Tsinghua Tongfang Co Ltd,SHH
173,2021-01-26,500,内地企业,Mainland Enterprises,600104,上汽集团,SAIC Motor Co Ltd,SHH
174,2021-01-26,500,内地企业,Mainland Enterprises,600111,北方稀土,"China Northern Rare Earth (Group) High-Tech Co.,Ltd",SHH
175,2021-01-26,500,内地企业,Mainland Enterprises,600115,东方航空,China Eastern Airlines Corp Ltd,SHH
176,2021-01-26,500,内地企业,Mainland Enterprises,600118,中国卫星,China Spacesat Co Ltd,SHH
177,2021-01-26,500,内地企业,Mainland Enterprises,600126,杭钢股份,Hang Zhou Iron & Steel Co Ltd,SHH
178,2021-01-26,500,内地企业,Mainland Enterprises,600143,金发科技,Kingfa Sci&Tech Co Ltd,SHH
